date;source;duta;dutb;temp;temp2;
10202018-13:52:15;0.50;0.500000055;0.500000078;34.9;33.8;
10202018-13:53:28;0.60;0.600000226;0.600000332;34.9;33.8;
10202018-13:54:40;0.70;0.700000094;0.700000393;34.9;33.8;
10202018-13:55:52;0.80;0.799999892;0.800000226;34.9;33.8;
10202018-13:57:05;0.90;0.900000010;0.900000462;34.9;33.8;
10202018-13:58:17;1.00;1.000000021;1.000000524;35.0;33.8;
10202018-13:59:29;1.10;1.100000281;1.100000655;35.0;33.7;
10202018-14:00:42;1.20;1.200000380;1.200000856;35.0;33.7;
10202018-14:01:54;1.30;1.300000391;1.300000742;35.0;33.7;
10202018-14:03:06;1.40;1.400000278;1.400000855;35.0;33.7;
10202018-14:04:19;1.50;1.500000573;1.500001092;35.0;33.7;
10202018-14:05:31;1.60;1.600000460;1.600001170;35.0;33.7;
10202018-14:06:43;1.70;1.700000346;1.700001144;35.0;33.8;
10202018-14:07:56;1.80;1.800000357;1.800001433;35.0;33.8;
10202018-14:09:08;1.90;1.900000386;1.900001231;35.0;33.8;
10202018-14:10:20;2.00;2.000000308;2.000001415;35.0;33.8;
10202018-14:11:33;2.10;2.100000710;2.100001476;35.0;33.8;
10202018-14:12:45;2.20;2.200000739;2.200001449;35.0;33.8;
10202018-14:13:57;2.30;2.300000803;2.300001668;35.0;33.8;
10202018-14:15:10;2.40;2.400000921;2.400001852;35.0;33.8;
10202018-14:16:22;2.50;2.500000932;2.500001843;35.0;33.8;
10202018-14:17:34;2.60;2.600000552;2.600001886;35.0;33.7;
10202018-14:18:47;2.70;2.700000616;2.700001930;35.0;33.8;
10202018-14:19:59;2.80;2.800000805;2.800002044;35.0;33.8;
10202018-14:21:11;2.90;2.900000584;2.900002385;35.0;33.7;
10202018-14:22:24;3.00;3.000000773;3.000002306;35.0;33.7;
10202018-14:23:36;3.10;3.100000962;3.100002507;35.0;33.8;
10202018-14:24:48;3.20;3.200001080;3.200002866;35.0;33.8;
10202018-14:26:01;3.30;3.300001055;3.300003067;35.0;33.9;
10202018-14:27:13;3.40;3.400000906;3.400003216;35.0;33.9;
10202018-14:28:26;3.50;3.500000739;3.500003277;35.0;33.9;
10202018-14:29:38;3.60;3.600001088;3.600003110;35.0;34.0;
10202018-14:30:50;3.70;3.700000974;3.700003242;35.0;34.0;
10202018-14:32:03;3.80;3.800001003;3.800003548;35.0;34.1;
10202018-14:33:15;3.90;3.900001121;3.900003784;35.0;34.1;
10202018-14:34:27;4.00;4.000001114;4.000003512;35.0;34.1;
10202018-14:35:40;4.10;4.100001160;4.100003871;35.0;34.2;
