date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06142026-12:40:58;-0.178631;-0.178631093;-0.178630467;-0.178630385;-0.178630563;-0.178632303;-0.17863098;-0.17863226;-0.1786314;-0.17862932;3.85958e-08;2.50949e-08;4.05506e-08;6.95368e-08;9.43186e-09;7.57364e-08;1.65167e-07;6.49307e-08;4.31741e-08;36.1;37.6;40.8;23.0;23.0;25.79;43.1;996.81;
06142026-07:55:07;-0.178351;-0.178351145;-0.178350393;-0.178350372;-0.17835056;-0.178352213;-0.17835102;-0.17835252;-0.17835132;-0.17834952;5.8207e-08;5.49103e-08;3.12032e-08;1.13071e-07;1.37753e-08;6.9685e-08;2.37234e-07;6.15142e-08;5.05964e-08;35.8;37.2;40.4;23.0;23.0;25.5;43.3;998.4;
06142026-06:19:06;-0.178056;-0.178056289;-0.178055387;-0.178055345;-0.178055627;-0.178057245;-0.17805598;-0.17805726;-0.17805632;-0.17805444;5.23385e-08;7.40445e-08;3.31599e-08;1.03023e-07;1.37608e-08;6.28013e-08;1.94772e-07;3.28634e-08;3.44093e-08;35.5;36.9;40.1;23.0;23.0;24.99;43.7;997.55;
06132026-19:49:48;-0.177727;-0.177726995;-0.177726415;-0.177726316;-0.177726948;-0.17772822;-0.17772664;-0.17772842;-0.17772755;-0.17772571;4.57803e-08;4.94249e-08;1.34927e-07;1.5283e-07;2.58225e-08;1.29213e-07;3.22329e-07;9.15642e-08;6.49307e-08;34.8;36.2;39.5;23.0;23.0;23.68;45.0;999.08;
06142026-12:24:58;-0.174206;-0.174206064;-0.17420532;-0.174205359;-0.174205675;-0.174207174;-0.17420598;-0.17420711;-0.1742066;-0.17420436;3.88686e-08;5.86357e-08;4.10812e-08;1.883e-07;4.02075e-08;5.15364e-08;1.22376e-07;4.22374e-08;2.13542e-08;36.0;37.6;40.8;23.0;23.0;25.68;43.2;997.04;
06142026-11:04:00;-0.173843;-0.173843141;-0.173842574;-0.17384233;-0.173842648;-0.173844338;-0.17384301;-0.17384467;-0.17384378;-0.17384157;7.42844e-08;2.94764e-08;5.49539e-08;5.04642e-08;2.00539e-08;8.95768e-08;1.25539e-07;2.87054e-08;3.34664e-08;36.1;37.7;40.9;23.0;23.0;25.05;42.8;997.31;
06142026-09:24:45;-0.173165;-0.173165113;-0.17316438;-0.173164348;-0.173164609;-0.173166189;-0.17316498;-0.17316621;-0.17316565;-0.17316358;1.04579e-07;1.6503e-08;5.14675e-08;5.95066e-08;1.99399e-08;5.79655e-08;2.50599e-07;6.66333e-08;3.1241e-08;35.9;37.4;40.6;23.0;23.0;25.65;43.1;997.5;
06142026-06:25:30;-0.172051;-0.172051165;-0.172050346;-0.172050374;-0.172050667;-0.172052132;-0.17205101;-0.17205214;-0.17205157;-0.17204962;3.876e-08;5.60845e-08;7.13968e-08;9.20074e-08;1.42548e-08;1.19063e-07;1.11821e-07;6.72309e-08;2.24499e-08;35.5;36.9;40.1;23.0;23.0;25.1;43.7;997.5;
06132026-22:17:59;-0.171339;-0.171339199;-0.171338484;-0.171338339;-0.171338704;-0.1713402;-0.17133866;-0.17134045;-0.17134024;-0.17133772;5.19321e-08;3.24941e-08;6.74825e-08;1.00587e-07;3.70805e-08;1.32212e-07;1.66325e-07;5.47723e-08;3.09839e-08;35.0;36.4;39.6;23.0;23.0;24.27;44.5;1000.07;
06142026-09:31:10;-0.170126;-0.170126112;-0.170125409;-0.170125431;-0.170125757;-0.170127149;-0.17012595;-0.17012706;-0.17012669;-0.17012466;6.76399e-08;6.13086e-08;2.33705e-08;1.82098e-07;2.67612e-08;4.79166e-08;1.76363e-07;5.23832e-08;2.93939e-08;36.0;37.5;40.6;23.0;23.0;25.72;43.0;997.32;
06142026-01:20:27;-0.169925;-0.169925109;-0.16992432;-0.169924338;-0.169924838;-0.169926122;-0.16992497;-0.16992636;-0.16992568;-0.16992372;6.81222e-08;1.83123e-08;4.65245e-08;9.46729e-08;2.42537e-08;4.996e-08;2.49271e-07;4.27083e-08;2.87054e-08;35.0;36.3;39.4;23.0;23.0;24.57;44.9;998.04;
06142026-01:43:46;-0.169339;-0.169339132;-0.169338304;-0.169338288;-0.169338841;-0.169340126;-0.1693389;-0.16934013;-0.16933963;-0.16933767;5.71998e-08;4.51787e-08;5.26414e-08;9.4364e-08;1.31362e-08;6.95701e-08;2.80671e-07;6.0531e-08;2.03961e-08;35.0;36.3;39.4;23.0;23.0;24.53;44.9;997.94;
