date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-01:16:38;-2.970245;-2.9702461;-2.97024505;-2.97024662;-2.9702409;-2.9702479;-2.9702419;-2.970258;-2.970375;-2.970256;4.12602e-07;3.18612e-07;5.66753e-07;4.10961e-07;4.18994e-07;2.49444e-07;1.54128e-06;2.16025e-06;4.71405e-07;34.0;35.4;38.4;23.0;23.0;23.540;45.4;1000.54;
06132026-01:18:58;-2.130782;-2.13078304;-2.13078196;-2.13078312;-2.1307791;-2.1307848;-2.1307802;-2.1307901;-2.130836;-2.13079;1.93143e-07;4.65824e-07;1.44974e-07;6.16441e-07;3.26599e-07;4.54606e-07;5.65685e-07;3.68179e-06;8.16497e-07;34.1;35.3;38.4;23.0;23.0;23.370;45.3;1000.47;
06132026-01:21:17;-2.762323;-2.76232394;-2.76232266;-2.76232416;-2.7623197;-2.7623256;-2.7623209;-2.7623336;-2.762429;-2.762332;1.93505e-07;1.12178e-07;3.51494e-07;7.58654e-07;0;2.49444e-07;9.79796e-07;2.44949e-06;3.74166e-06;34.1;35.3;38.4;23.0;23.0;23.130;45.2;1000.46;
06132026-01:23:36;2.269649;2.26964856;2.269647;2.26964883;2.2696438;2.2696463;2.2696421;2.2696469;2.26956;2.269649;4.65081e-07;7.19628e-07;3.14784e-07;3.39935e-07;9.42809e-08;1.69967e-07;1.13137e-06;1.69967e-06;4.02768e-06;34.1;35.3;38.4;23.0;23.0;23.010;45.3;1000.51;
06132026-01:25:56;-4.755435;-4.75543561;-4.75543358;-4.75543643;-4.7554275;-4.7554369;-4.7554296;-4.7554513;-4.75571;-4.755457;1.51224e-07;1.20856e-07;2.29214e-07;3.39935e-07;1.88562e-07;3.55903e-07;2.6386e-06;2.49444e-06;2.49444e-06;34.1;35.4;38.4;23.0;23.0;23.060;45.4;1000.53;
06132026-01:28:15;-8.467872;-8.46787152;-8.46786887;-8.46787442;-8.4678591;-8.4678736;-8.4678626;-8.4678935;-8.467934;-8.467906;2.60878e-07;3.33787e-07;2.15754e-07;1.24722e-07;1.41421e-07;6.16441e-07;1.02089e-06;2.86744e-06;2.94392e-06;34.1;35.3;38.4;23.0;23.0;23.190;45.5;1000.63;
06132026-01:30:35;-7.813861;-7.8138608;-7.81385831;-7.813863;-7.8138491;-7.813862;-7.8138542;-7.8138818;-7.813941;-7.813892;2.33916e-07;2.03858e-07;1.65374e-07;1.55206e-06;1.63299e-07;1.63299e-07;1.7442e-06;1.41421e-06;8.16497e-07;34.1;35.3;38.4;23.0;23.0;23.340;45.5;1000.59;
06132026-01:32:54;5.636974;5.63697303;5.63696939;5.63697422;5.6369635;5.6369738;5.6369589;5.6369779;5.636838;5.63697;3.07285e-07;7.523e-08;2.36006e-07;1.69967e-07;2.35702e-07;5.55778e-07;8.88178e-16;8.16497e-07;9.42809e-07;34.0;35.3;38.3;23.0;23.0;23.450;45.5;1000.57;
06132026-01:35:14;-8.647072;-8.64707202;-8.6470691;-8.64707436;-8.6470596;-8.6470732;-8.6470625;-8.6470935;-8.647123;-8.647107;5.05516e-07;2.42858e-07;5.32376e-07;8.80656e-07;4.18994e-07;1.41421e-07;9.79796e-07;1.63299e-06;1.41421e-06;34.0;35.4;38.4;23.0;23.0;23.560;45.4;1000.49;
06132026-01:37:33;9.690432;9.69043102;9.6904238;9.690433;9.6904147;9.6904333;9.6904168;9.6904481;9.690383;9.690434;1.07661e-07;2.97712e-07;2.65357e-07;2.0548e-07;2.49444e-07;3.68179e-07;5.65685e-07;3.09121e-06;8.16497e-07;34.0;35.3;38.3;23.0;23.0;23.590;45.3;1000.56;
06132026-01:39:53;-3.575557;-3.57555784;-3.57555633;-3.57555833;-3.5755514;-3.57556;-3.5755534;-3.5755714;-3.575758;-3.575576;8.92985e-08;8.99271e-08;2.83811e-07;2.0548e-07;4.78423e-07;2.86744e-07;1.7442e-06;9.42809e-07;1.63299e-06;34.0;35.4;38.4;23.0;23.0;23.380;45.2;1000.41;
06132026-01:42:12;-5.866414;-5.86641427;-5.86641192;-5.86641577;-5.8664059;-5.8664159;-5.8664079;-5.8664303;-5.866591;-5.86644;2.10846e-07;6.91873e-08;4.36527e-08;8.52447e-07;2.35702e-07;9.42809e-08;5.65685e-07;2.0548e-06;2.0548e-06;34.1;35.3;38.4;23.0;23.0;23.160;45.2;1000.30;
06132026-01:44:32;9.793773;9.79377295;9.7937649;9.7937744;9.7937554;9.7937747;9.7937591;9.7937911;9.793729;9.793772;2.81085e-07;2.59278e-07;3.02435e-07;1.20277e-06;1.88562e-07;1.63299e-07;1.02089e-06;2.86744e-06;3.09121e-06;34.0;35.3;38.4;23.0;23.0;22.990;45.2;1000.28;
06132026-01:46:51;-9.247004;-9.24700491;-9.24700119;-9.24700778;-9.2469905;-9.2470056;-9.2469939;-9.2470274;-9.247063;-9.247046;2.10647e-07;2.35364e-07;2.9306e-07;1.60485e-06;6.54896e-07;4.18994e-07;2.30988e-06;2.62467e-06;1.41421e-06;34.1;35.4;38.4;23.0;23.0;22.970;45.3;1000.31;
06132026-01:49:11;-3.913124;-3.91312469;-3.91312322;-3.91312548;-3.9131182;-3.9131264;-3.9131205;-3.913138;-3.913371;-3.913148;3.33675e-07;3.41207e-08;4.0913e-07;7.78888e-07;1.69967e-07;9.42809e-08;1.49666e-06;1.24722e-06;3.09121e-06;34.1;35.3;38.4;23.0;23.0;23.150;45.4;1000.38;
06132026-01:51:30;8.369667;8.36966576;8.36965968;8.36966694;8.3696517;8.3696674;8.369651;8.3696794;8.369638;8.36967;1.08094e-07;2.09622e-07;5.79828e-08;4.92161e-07;1.69967e-07;2.0548e-07;1.13137e-06;2.82843e-06;3.55903e-06;34.1;35.3;38.4;23.0;23.0;23.340;45.5;1000.45;
06132026-01:53:50;3.604045;3.60404462;3.60404219;3.60404541;3.6040389;3.6040428;3.6040353;3.6040462;3.603794;3.604043;1.70378e-07;4.48299e-07;2.80337e-07;4.92161e-07;2.0548e-07;2.49444e-07;2.00056e-06;2.49444e-06;8.16497e-07;34.1;35.4;38.4;23.0;23.0;23.460;45.4;1000.48;
06132026-01:56:09;-10.172792;-10.1727918;-10.1727881;-10.172795;-10.1727772;-10.1727927;-10.172779;-10.172815;-10.172868;-10.172831;2.94392e-08;2.59401e-07;3.09228e-07;6.01849e-07;9.42809e-08;4.71405e-07;4.71405e-07;2.35702e-06;9.42809e-07;34.1;35.4;38.4;23.0;23.0;23.600;45.4;1000.50;
06132026-01:58:29;9.372697;9.37269673;9.37268874;9.37269778;9.3726801;9.3726981;9.3726818;9.3727133;9.372654;9.372697;4.36956e-07;2.96083e-07;3.21969e-07;1.0198e-06;1.69967e-07;2.49444e-07;1.02089e-06;2.0548e-06;3.39935e-06;34.0;35.2;38.4;23.0;23.0;23.650;45.3;1000.54;
